id,timestamp,topic,value
67,"2026-07-17 22:05:58",tas_ai_surya_fsm_uksw/suhu,25.5
68,"2026-07-17 22:05:58",tas_ai_surya_fsm_uksw/kelembaban,81.2
69,"2026-07-17 22:06:18",tas_ai_surya_fsm_uksw/suhu,25.5
70,"2026-07-17 22:06:18",tas_ai_surya_fsm_uksw/kelembaban,81.2
71,"2026-07-17 22:06:38",tas_ai_surya_fsm_uksw/suhu,25.6
72,"2026-07-17 22:06:38",tas_ai_surya_fsm_uksw/kelembaban,81.2
73,"2026-07-17 22:06:58",tas_ai_surya_fsm_uksw/suhu,25.6
74,"2026-07-17 22:06:58",tas_ai_surya_fsm_uksw/kelembaban,81.2
75,"2026-07-17 22:07:18",tas_ai_surya_fsm_uksw/suhu,25.5
76,"2026-07-17 22:07:18",tas_ai_surya_fsm_uksw/kelembaban,81.1
77,"2026-07-17 22:07:38",tas_ai_surya_fsm_uksw/suhu,25.5
78,"2026-07-17 22:07:38",tas_ai_surya_fsm_uksw/kelembaban,81.1
79,"2026-07-17 22:07:58",tas_ai_surya_fsm_uksw/suhu,25.6
80,"2026-07-17 22:07:58",tas_ai_surya_fsm_uksw/kelembaban,81.0
81,"2026-07-17 22:08:18",tas_ai_surya_fsm_uksw/suhu,25.5
82,"2026-07-17 22:08:18",tas_ai_surya_fsm_uksw/kelembaban,81.1
83,"2026-07-17 22:08:38",tas_ai_surya_fsm_uksw/suhu,25.5
84,"2026-07-17 22:08:38",tas_ai_surya_fsm_uksw/kelembaban,81.1
85,"2026-07-17 22:08:58",tas_ai_surya_fsm_uksw/suhu,25.5
86,"2026-07-17 22:08:58",tas_ai_surya_fsm_uksw/kelembaban,81.1
87,"2026-07-17 22:09:18",tas_ai_surya_fsm_uksw/suhu,25.5
88,"2026-07-17 22:09:18",tas_ai_surya_fsm_uksw/kelembaban,81.2
89,"2026-07-17 22:09:38",tas_ai_surya_fsm_uksw/suhu,25.5
90,"2026-07-17 22:09:38",tas_ai_surya_fsm_uksw/kelembaban,81.1
91,"2026-07-17 22:09:58",tas_ai_surya_fsm_uksw/suhu,25.5
92,"2026-07-17 22:09:58",tas_ai_surya_fsm_uksw/kelembaban,81.2
93,"2026-07-17 22:10:18",tas_ai_surya_fsm_uksw/suhu,25.5
94,"2026-07-17 22:10:18",tas_ai_surya_fsm_uksw/kelembaban,81.1
95,"2026-07-17 22:10:38",tas_ai_surya_fsm_uksw/suhu,25.5
96,"2026-07-17 22:10:38",tas_ai_surya_fsm_uksw/kelembaban,81.1
97,"2026-07-17 22:10:58",tas_ai_surya_fsm_uksw/suhu,25.5
98,"2026-07-17 22:10:58",tas_ai_surya_fsm_uksw/kelembaban,81.0
99,"2026-07-17 22:11:18",tas_ai_surya_fsm_uksw/suhu,25.5
100,"2026-07-17 22:11:18",tas_ai_surya_fsm_uksw/kelembaban,81.0
101,"2026-07-17 22:11:38",tas_ai_surya_fsm_uksw/suhu,25.5
102,"2026-07-17 22:11:38",tas_ai_surya_fsm_uksw/kelembaban,80.9
103,"2026-07-17 22:11:59",tas_ai_surya_fsm_uksw/suhu,25.5
104,"2026-07-17 22:11:59",tas_ai_surya_fsm_uksw/kelembaban,80.9
105,"2026-07-17 22:12:18",tas_ai_surya_fsm_uksw/suhu,25.5
106,"2026-07-17 22:12:18",tas_ai_surya_fsm_uksw/kelembaban,80.9
107,"2026-07-17 22:12:38",tas_ai_surya_fsm_uksw/suhu,25.5
108,"2026-07-17 22:12:38",tas_ai_surya_fsm_uksw/kelembaban,81.0
109,"2026-07-17 22:12:59",tas_ai_surya_fsm_uksw/suhu,25.5
110,"2026-07-17 22:12:59",tas_ai_surya_fsm_uksw/kelembaban,81.0
111,"2026-07-17 22:13:19",tas_ai_surya_fsm_uksw/suhu,25.5
112,"2026-07-17 22:13:19",tas_ai_surya_fsm_uksw/kelembaban,81.0
113,"2026-07-17 22:13:38",tas_ai_surya_fsm_uksw/suhu,25.5
114,"2026-07-17 22:13:39",tas_ai_surya_fsm_uksw/kelembaban,81.0
115,"2026-07-17 22:13:59",tas_ai_surya_fsm_uksw/suhu,25.5
116,"2026-07-17 22:13:59",tas_ai_surya_fsm_uksw/kelembaban,81.0
117,"2026-07-17 22:14:19",tas_ai_surya_fsm_uksw/suhu,25.5
118,"2026-07-17 22:14:19",tas_ai_surya_fsm_uksw/kelembaban,81.0
119,"2026-07-17 22:14:39",tas_ai_surya_fsm_uksw/suhu,25.5
120,"2026-07-17 22:14:39",tas_ai_surya_fsm_uksw/kelembaban,81.0
121,"2026-07-17 22:14:59",tas_ai_surya_fsm_uksw/suhu,25.5
122,"2026-07-17 22:14:59",tas_ai_surya_fsm_uksw/kelembaban,81.0
123,"2026-07-17 22:15:19",tas_ai_surya_fsm_uksw/suhu,25.5
124,"2026-07-17 22:15:19",tas_ai_surya_fsm_uksw/kelembaban,81.0
125,"2026-07-17 22:15:39",tas_ai_surya_fsm_uksw/suhu,25.5
126,"2026-07-17 22:15:39",tas_ai_surya_fsm_uksw/kelembaban,80.9
